# epoch	train_loss	dev_loss	dev_score	best_dev_score
5	0.035794	0.0776	0.0776
new best model saved at epoch 5: 8.40	2.40	34.27	7.76
10	0.035041	0.1194	0.1194
new best model saved at epoch 10: 12.31	4.27	51.62	11.94
15	0.032470	0.1178	0.1194
20	0.031369	0.1065	0.1194
25	0.025869	0.1637	0.1637
new best model saved at epoch 25: 17.52	6.79	57.27	16.37
30	0.024828	0.1846	0.1846
new best model saved at epoch 30: 19.51	8.03	63.67	18.46
35	0.024580	0.1783	0.1846
40	0.023894	0.1851	0.1851
new best model saved at epoch 40: 19.79	8.24	60.09	18.51
45	0.023643	0.1884	0.1884
new best model saved at epoch 45: 20.18	8.49	59.62	18.84
50	0.022955	0.1769	0.1884
55	0.022620	0.1879	0.1884
60	0.021915	0.1952	0.1952
new best model saved at epoch 60: 20.85	8.71	64.09	19.52
65	0.021847	0.1920	0.1952
70	0.021672	0.1932	0.1952
75	0.021368	0.1966	0.1966
new best model saved at epoch 75: 20.83	8.79	64.84	19.66
80	0.021433	0.1974	0.1974
new best model saved at epoch 80: 20.95	8.87	64.57	19.74
85	0.020975	0.2009	0.2009
new best model saved at epoch 85: 21.34	9.02	65.92	20.09
90	0.020610	0.2014	0.2014
new best model saved at epoch 90: 21.50	9.17	64.63	20.14
95	0.020514	0.2052	0.2052
new best model saved at epoch 95: 21.79	9.34	66.44	20.52
100	0.020516	0.2046	0.2052
105	0.020508	0.2044	0.2052
110	0.020233	0.2049	0.2052
115	0.019732	0.2080	0.2080
new best model saved at epoch 115: 22.09	9.58	65.94	20.80
120	0.019576	0.2119	0.2119
new best model saved at epoch 120: 22.19	9.77	68.24	21.19
125	0.019405	0.2072	0.2119
130	0.019275	0.2107	0.2119
135	0.018880	0.2185	0.2185
new best model saved at epoch 135: 22.62	10.26	70.33	21.85
140	0.018737	0.2215	0.2215
new best model saved at epoch 140: 23.02	10.51	70.35	22.15
145	0.018768	0.2149	0.2215
150	0.018575	0.2262	0.2262
new best model saved at epoch 150: 23.49	10.81	71.23	22.62
155	0.018600	0.2213	0.2262
160	0.018538	0.2271	0.2271
new best model saved at epoch 160: 23.40	10.88	72.19	22.71
165	0.018353	0.2192	0.2271
170	0.018189	0.2208	0.2271
175	0.017996	0.2187	0.2271
180	0.018113	0.2277	0.2277
new best model saved at epoch 180: 24.08	10.89	69.77	22.77
185	0.018151	0.2252	0.2277
190	0.017994	0.2275	0.2277
195	0.017967	0.2238	0.2277
200	0.017706	0.2220	0.2277
205	0.017759	0.2276	0.2277
210	0.017718	0.2256	0.2277
215	0.017862	0.2242	0.2277
220	0.017702	0.2267	0.2277
225	0.017828	0.2229	0.2277
230	0.017791	0.2248	0.2277
235	0.017442	0.2184	0.2277
240	0.017845	0.2255	0.2277
245	0.017352	0.2262	0.2277
250	0.017470	0.2268	0.2277
255	0.017666	0.2287	0.2287
new best model saved at epoch 255: 23.90	10.80	73.04	22.87
260	0.017357	0.2232	0.2287
265	0.017361	0.2256	0.2287
270	0.017498	0.2275	0.2287
275	0.017182	0.2278	0.2287
280	0.017373	0.2266	0.2287
285	0.016897	0.2251	0.2287
290	0.017326	0.2263	0.2287
295	0.017184	0.2246	0.2287
300	0.017299	0.2269	0.2287
